,TM,gmp_people,gmp_congest,Origin
186,2018101216,1689,N,김포공항
187,2018101217,1326,N,김포공항
188,2018101218,2880,Y,김포공항
189,2018101219,2004,Y,김포공항
190,2018101220,494,N,김포공항
191,2018101221,522,N,김포공항
192,2018101306,2628,Y,김포공항
193,2018101307,2397,Y,김포공항
194,2018101308,1783,N,김포공항
195,2018101309,2081,Y,김포공항
196,2018101310,1791,N,김포공항
197,2018101311,2159,Y,김포공항
198,2018101312,1537,N,김포공항
199,2018101313,1884,N,김포공항
200,2018101314,2543,Y,김포공항
201,2018101315,2442,Y,김포공항
202,2018101316,1337,N,김포공항
203,2018101317,1518,N,김포공항
204,2018101318,2414,Y,김포공항
205,2018101319,1871,N,김포공항
206,2018101320,668,N,김포공항
207,2018101321,284,N,김포공항
208,2018101406,2349,Y,김포공항
209,2018101407,2036,Y,김포공항
210,2018101408,1442,N,김포공항
211,2018101409,2008,Y,김포공항
212,2018101410,1543,N,김포공항
213,2018101411,1965,Y,김포공항
214,2018101412,1767,N,김포공항
215,2018101413,1910,N,김포공항
216,2018101414,2799,Y,김포공항
217,2018101415,2262,Y,김포공항
218,2018101416,1714,N,김포공항
219,2018101417,1434,N,김포공항
220,2018101418,3121,Y,김포공항
221,2018101419,2226,Y,김포공항
222,2018101420,565,N,김포공항
223,2018101421,477,N,김포공항
224,2018101506,2560,Y,김포공항
225,2018101507,2416,Y,김포공항
226,2018101508,1576,Y,김포공항
227,2018101509,2401,Y,김포공항
228,2018101510,1555,Y,김포공항
229,2018101511,2032,Y,김포공항
230,2018101512,1536,N,김포공항
231,2018101513,1815,Y,김포공항
232,2018101514,2154,Y,김포공항
233,2018101515,2700,Y,김포공항
234,2018101516,1327,N,김포공항
235,2018101517,1499,N,김포공항
236,2018101518,2707,Y,김포공항
237,2018101519,1909,N,김포공항
238,2018101520,588,N,김포공항
239,2018101521,294,N,김포공항
240,2018101606,2611,Y,김포공항
241,2018101607,2255,Y,김포공항
242,2018101608,1820,Y,김포공항
243,2018101609,1950,Y,김포공항
244,2018101610,1677,Y,김포공항
245,2018101611,1933,Y,김포공항
246,2018101612,1440,N,김포공항
247,2018101613,2013,Y,김포공항
248,2018101614,2353,Y,김포공항
249,2018101615,2443,Y,김포공항
250,2018101616,1240,N,김포공항
251,2018101617,1541,N,김포공항
252,2018101618,2824,Y,김포공항
253,2018101619,1727,N,김포공항
254,2018101620,624,N,김포공항
255,2018101621,195,N,김포공항
256,2018101706,2545,Y,김포공항
257,2018101707,2479,Y,김포공항
258,2018101708,1644,Y,김포공항
259,2018101709,2300,Y,김포공항
260,2018101710,1692,Y,김포공항
261,2018101711,2042,Y,김포공항
262,2018101712,1597,Y,김포공항
263,2018101713,2190,Y,김포공항
264,2018101714,2345,Y,김포공항
265,2018101715,2365,Y,김포공항
266,2018101716,1727,N,김포공항
267,2018101717,1235,N,김포공항
268,2018101718,2531,Y,김포공항
269,2018101719,1766,N,김포공항
270,2018101720,624,N,김포공항
271,2018101721,338,N,김포공항
272,2018101806,2513,Y,김포공항
273,2018101807,2217,Y,김포공항
274,2018101808,1546,N,김포공항
275,2018101809,2180,Y,김포공항
276,2018101810,1811,N,김포공항
277,2018101811,2069,Y,김포공항
278,2018101812,1435,N,김포공항
279,2018101813,1883,N,김포공항
280,2018101814,2461,Y,김포공항
281,2018101815,2402,Y,김포공항
282,2018101816,1521,N,김포공항
283,2018101817,1757,Y,김포공항
284,2018101818,2540,Y,김포공항
285,2018101819,1723,N,김포공항
286,2018101820,855,N,김포공항
287,2018101821,327,N,김포공항
288,2018101906,2527,Y,김포공항
289,2018101907,2127,Y,김포공항
290,2018101908,1793,Y,김포공항
291,2018101909,2166,Y,김포공항
292,2018101910,1560,N,김포공항
293,2018101911,2041,Y,김포공항
294,2018101912,1622,N,김포공항
295,2018101913,2239,Y,김포공항
296,2018101914,2295,Y,김포공항
297,2018101915,2190,Y,김포공항
298,2018101916,1931,Y,김포공항
299,2018101917,1323,N,김포공항
300,2018101918,3106,Y,김포공항
301,2018101919,2105,Y,김포공항
302,2018101920,485,N,김포공항
303,2018101921,524,N,김포공항
304,2018102006,2662,Y,김포공항
305,2018102007,2464,Y,김포공항
306,2018102008,1886,Y,김포공항
307,2018102009,1917,Y,김포공항
308,2018102010,1708,N,김포공항
309,2018102011,2220,Y,김포공항
310,2018102012,1590,N,김포공항
311,2018102013,1819,N,김포공항
312,2018102014,2445,Y,김포공항
313,2018102015,2270,Y,김포공항
314,2018102016,1245,N,김포공항
315,2018102017,1495,N,김포공항
316,2018102018,2387,Y,김포공항
317,2018102019,1858,N,김포공항
318,2018102020,636,N,김포공항
319,2018102021,281,N,김포공항
320,2018102106,2222,Y,김포공항
321,2018102107,2110,Y,김포공항
322,2018102108,1388,N,김포공항
323,2018102109,1930,Y,김포공항
324,2018102110,1467,N,김포공항
325,2018102111,1950,N,김포공항
326,2018102112,1601,N,김포공항
