"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018113024","26","1","","1000","","","","","","-3","-57","10277","10261","","67","3","2","30","6","3","200","0","","","","","",""
"2018120101","21","4","","1000","","","","","","-9","-64","10271","10255","","67","6","4","30","6","6","200","0","","","","","",""
"2018120102","6","1","","1000","","","","","","-1","-60","10272","10256","","66","6","4","30","6","6","200","0","","","","","",""
"2018120103","34","2","","1000","","","","","","-3","-50","10274","10258","","71","6","4","30","6","6","200","0","","","","","",""
"2018120104","32","1","","1000","","","","","","-5","-47","10268","10252","","75","6","2","30","6","6","200","0","","","","","",""
"2018120105","2","3","","1000","","","","","","-5","-44","10272","10256","","75","4","2","30","6","4","200","0","","","","","",""
"2018120106","31","3","","1000","","","","","","11","-33","10274","10258","","74","6","4","30","6","6","200","0","","","","","",""
"2018120107","33","1","","1000","","","","","","16","-36","10276","10260","","69","6","4","30","6","6","200","0","","","","","",""
"2018120108","33","2","","1000","","","","","","19","-38","10281","10265","","67","7","5","30","6","7","200","0","","","","","",""
"2018120109","33","3","","1000","","","","","","22","-30","10288","10272","","69","5","2","30","6","5","200","0","","","","","",""
"2018120110","32","2","","1000","","","","","","55","-27","10290","10274","","57","2","2","200","0","","","","","","","","",""
"2018120111","24","2","","1000","","","","","","81","-30","10289","10273","","46","1","1","200","0","","","","","","","","",""
"2018120112","5","2","","1000","","","","","","86","-38","10285","10269","","42","1","1","200","0","","","","","","","","",""
"2018120113","31","2","","1000","","","","","","98","-90","10279","10263","","26","2","2","200","0","","","","","","","","",""
"2018120114","3","2","","1000","","","","","","101","-94","10273","10257","","25","2","2","200","0","","","","","","","","",""
"2018120115","1","5","","1000","","","","","","103","-78","10269","10253","","27","1","1","200","0","","","","","","","","",""
"2018120116","33","5","","1000","","","","","","98","-86","10269","10253","","27","1","1","200","0","","","","","","","","",""
"2018120117","33","4","","1000","","","","","","72","-98","10270","10254","","29","1","1","200","0","","","","","","","","",""
"2018120118","34","4","","1000","","","","","","48","-94","10273","10257","","35","1","1","200","0","","","","","","","","",""
"2018120119","32","4","","1000","","","","","","31","-78","10276","10260","","45","0","","","","","","","","","","","",""
"2018120120","34","3","","1000","","","","","","38","-82","10278","10262","","42","0","","","","","","","","","","","",""
