"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019043024","33","2","","1000","","","","","","114","64","10084","10072","","72","5","5","150","3","","","","","","","","",""
"2019050101","27","2","","1000","","","","","","101","69","10082","10070","","81","4","4","150","3","","","","","","","","",""
"2019050102","0","0","","1000","","","","","","108","71","10076","10064","","78","4","2","50","6","4","150","3","","","","","",""
"2019050103","29","3","","1000","","","","","","105","71","10076","10064","","79","3","3","50","6","","","","","","","","",""
"2019050104","7","2","","1000","","","","","","105","78","10077","10065","","83","5","5","50","6","","","","","","","","",""
"2019050105","15","5","","1000","","","","","","106","71","10074","10062","","79","5","5","40","6","","","","","","","","",""
"2019050106","15","3","","1000","","","","","","96","68","10077","10065","","83","4","4","40","6","","","","","","","","",""
"2019050107","14","3","","1000","","","","","","116","90","10082","10070","","84","4","4","40","6","","","","","","","","",""
"2019050108","18","4","","1000","","","","","","137","90","10083","10071","","73","4","4","40","6","","","","","","","","",""
"2019050109","19","3","","1000","","","","","","156","90","10083","10071","","65","4","4","40","6","","","","","","","","",""
"2019050110","31","7","","1000","","","","","","173","91","10084","10073","","59","2","2","40","6","","","","","","","","",""
"2019050111","26","7","","1000","","","","","","189","100","10080","10069","","56","2","2","40","6","","","","","","","","",""
"2019050112","28","8","","1000","","","","","","202","95","10075","10064","","50","2","2","40","6","","","","","","","","",""
"2019050113","26","7","","1000","","","","","","214","103","10065","10054","","49","0","","","","","","","","","","","",""
"2019050114","26","10","","1000","","","","","","214","106","10056","10045","","51","0","","","","","","","","","","","",""
"2019050115","28","15","","1000","","","","","","205","97","10050","10039","","50","0","","","","","","","","","","","",""
"2019050116","23","10","","1000","","","","","","202","105","10045","10034","","54","0","","","","","","","","","","","",""
"2019050117","22","10","","1000","","","","","","195","96","10041","10030","","53","0","","","","","","","","","","","",""
"2019050118","23","7","","1000","","","","","","186","92","10041","10030","","54","0","","","","","","","","","","","",""
