"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018123124","34","4","","1000","","","","","","-75","-127","10358","10341","","67","1","1","30","6","","","","","","","","",""
"2019010101","32","3","","1000","","","","","","-86","-133","10359","10342","","69","0","","","","","","","","","","","",""
"2019010102","35","3","","1000","","","","","","-94","-139","10358","10341","","73","0","","","","","","","","","","","",""
"2019010103","27","2","","1000","","","","","","-102","-151","10364","10347","","71","0","","","","","","","","","","","",""
"2019010104","1","2","","1000","","","","","","-109","-157","10357","10340","","70","0","","","","","","","","","","","",""
"2019010105","34","1","","1000","","","","","","-91","-139","10354","10337","","69","0","","","","","","","","","","","",""
"2019010106","5","2","","1000","","","","","","-103","-157","10353","10336","","67","1","1","180","0","","","","","","","","",""
"2019010107","3","2","","1000","","","","","","-107","-151","10349","10332","","72","4","4","140","3","","","","","","","","",""
"2019010108","30","2","","1000","","","","","","-104","-145","10348","10331","","72","6","6","130","3","","","","","","","","",""
"2019010109","33","2","","1000","","","","","","-76","-112","10350","10333","","74","7","7","110","3","","","","","","","","",""
"2019010110","3","1","","1000","","","","","","-54","-122","10350","10333","","60","3","3","150","3","","","","","","","","",""
"2019010111","28","1","","1000","","","","","","-36","-127","10348","10331","","50","4","2","30","6","4","80","3","","","","","",""
"2019010112","33","5","","1000","","","","","","-26","-127","10336","10320","","47","4","4","30","6","","","","","","","","",""
"2019010113","31","11","","1000","","","","","","-14","-117","10325","10309","","47","4","4","30","6","","","","","","","","",""
"2019010114","31","13","","1000","","","","","","-19","-127","10320","10304","","44","4","4","30","6","","","","","","","","",""
"2019010115","30","12","","1000","","","","","","-14","-133","10322","10306","","42","4","4","30","6","","","","","","","","",""
"2019010116","27","9","","1000","","","","","","-16","-127","10322","10306","","44","3","3","30","6","","","","","","","","",""
"2019010117","28","9","","1000","","","","","","-18","-139","10325","10309","","40","1","1","30","6","","","","","","","","",""
"2019010118","29","5","","1000","","","","","","-32","-151","10328","10312","","41","0","","","","","","","","","","","",""
"2019010119","30","5","","1000","","","","","","-42","-145","10337","10320","","45","0","","","","","","","","","","","",""
"2019010120","32","7","","1000","","","","","","-59","-151","10340","10323","","51","0","","","","","","","","","","","",""
"2019010121","35","10","","1000","","","","","","-55","-157","10343","10326","","45","0","","","","","","","","","","","",""
"2019010122","35","4","","1000","","","","","","-81","-164","10348","10331","","52","0","","","","","","","","","","","",""
"2019010123","26","1","","1000","","","","","","-77","-157","10345","10328","","53","0","","","","","","","","","","","",""
"2019010124","21","2","","1000","","","","","","-98","-157","10349","10332","","62","0","","","","","","","","","","","",""
"2019010201","3","1","","1000","","","","","","-104","-157","10349","10332","","65","0","","","","","","","","","","","",""
"2019010202","0","0","","1000","","","","","","-102","-164","10353","10336","","61","0","","","","","","","","","","","",""
"2019010203","5","1","","1000","","","","","","-113","-171","10352","10335","","65","0","","","","","","","","","","","",""
"2019010204","31","2","","1000","","","","","","-115","-157","10349","10332","","75","0","","","","","","","","","","","",""
"2019010205","33","2","","1000","","","","","","-119","-151","10347","10330","","77","0","","","","","","","","","","","",""
"2019010206","34","1","","1000","","","","","","-116","-151","10351","10334","","78","0","","","","","","","","","","","",""
"2019010207","32","2","","1000","","","","","","-121","-157","10355","10338","","78","0","","","","","","","","","","","",""
"2019010208","1","3","","1000","","","","","","-108","-145","10362","10345","","76","0","","","","","","","","","","","",""
"2019010209","31","1","","1000","","","","","","-77","-117","10370","10353","","74","0","","","","","","","","","","","",""
"2019010210","31","4","","1000","","","","","","-50","-139","10371","10354","","52","0","","","","","","","","","","","",""
"2019010211","34","7","","1000","","","","","","-40","-164","10366","10349","","39","0","","","","","","","","","","","",""
"2019010212","33","7","","1000","","","","","","-30","-187","10357","10340","","29","0","","","","","","","","","","","",""
"2019010213","35","6","","1000","","","","","","-20","-187","10345","10329","","27","0","","","","","","","","","","","",""
"2019010214","33","4","","1000","","","","","","-6","-187","10338","10322","","25","0","","","","","","","","","","","",""
"2019010215","29","7","","1000","","","","","","-4","-171","10338","10322","","29","0","","","","","","","","","","","",""
"2019010216","28","5","","1000","","","","","","-11","-171","10339","10323","","29","0","","","","","","","","","","","",""
"2019010217","28","5","","1000","","","","","","-20","-164","10338","10322","","32","0","","","","","","","","","","","",""
"2019010218","27","4","","1000","","","","","","-30","-157","10344","10328","","37","0","","","","","","","","","","","",""
"2019010219","29","3","","1000","","","","","","-49","-164","10347","10330","","42","0","","","","","","","","","","","",""
"2019010220","27","2","","1000","","","","","","-61","-157","10346","10329","","48","0","","","","","","","","","","","",""
"2019010221","2","2","","1000","","","","","","-76","-151","10346","10329","","55","0","","","","","","","","","","","",""
"2019010222","32","5","","1000","","","","","","-62","-133","10349","10332","","58","0","","","","","","","","","","","",""
"2019010223","33","4","","1000","","","","","","-60","-157","10353","10336","","48","0","","","","","","","","","","","",""
"2019010224","33","4","","1000","","","","","","-63","-145","10356","10339","","53","4","4","240","0","","","","","","","","",""
"2019010301","32","3","","1000","","","","","","-66","-157","10356","10339","","51","4","4","240","0","","","","","","","","",""
"2019010302","35","3","","1000","","","","","","-105","-171","10358","10341","","59","0","","","","","","","","","","","",""
"2019010303","26","3","","1000","","","","","","-88","-151","10360","10343","","62","0","","","","","","","","","","","",""
"2019010304","33","3","","1000","","","","","","-86","-151","10358","10341","","60","0","","","","","","","","","","","",""
"2019010305","35","2","","1000","","","","","","-91","-151","10359","10342","","64","0","","","","","","","","","","","",""
"2019010306","0","0","","1000","","","","","","-112","-164","10362","10345","","68","0","","","","","","","","","","","",""
"2019010307","2","2","","1000","","","","","","-106","-151","10362","10345","","71","0","","","","","","","","","","","",""
"2019010308","32","2","","1000","","","","","","-92","-133","10365","10348","","74","0","","","","","","","","","","","",""
"2019010309","0","0","","1000","","","","","","-62","-117","10372","10355","","66","0","","","","","","","","","","","",""
"2019010310","1","1","","1000","","","","","","-42","-145","10376","10359","","46","0","","","","","","","","","","","",""
"2019010311","34","5","","1000","","","","","","-26","-164","10376","10359","","36","0","","","","","","","","","","","",""
"2019010312","3","2","","1000","","","","","","-11","-164","10365","10349","","31","0","","","","","","","","","","","",""
"2019010313","36","7","","1000","","","","","","-1","-196","10356","10340","","22","0","","","","","","","","","","","",""
"2019010314","35","5","","1000","","","","","","9","-205","10350","10334","","20","0","","","","","","","","","","","",""
"2019010315","34","5","","1000","","","","","","13","-205","10346","10330","","19","0","","","","","","","","","","","",""
"2019010316","33","2","","1000","","","","","","15","-205","10346","10330","","19","0","","","","","","","","","","","",""
"2019010317","35","2","","1000","","","","","","9","-205","10344","10328","","20","0","","","","","","","","","","","",""
"2019010318","30","5","","1000","","","","","","-13","-179","10346","10330","","28","0","","","","","","","","","","","",""
"2019010319","30","4","","1000","","","","","","-20","-133","10357","10341","","43","0","","","","","","","","","","","",""
"2019010320","36","1","","1000","","","","","","-33","-127","10363","10346","","50","0","","","","","","","","","","","",""
"2019010321","0","0","","1000","","","","","","-50","-127","10359","10342","","56","0","","","","","","","","","","","",""
"2019010322","4","1","","1000","","","","","","-69","-133","10356","10339","","61","0","","","","","","","","","","","",""
"2019010323","27","1","","1000","","","","","","-76","-122","10359","10342","","71","0","","","","","","","","","","","",""
"2019010324","35","1","","1000","","","","","","-74","-122","10358","10341","","71","0","","","","","","","","","","","",""
"2019010401","32","1","","800","","","","","5","-88","-133","10354","10337","","71","0","","","","","","","","","","","",""
"2019010402","35","1","","800","","","","","5","-83","-117","10354","10337","","77","0","","","","","","","","","","","",""
"2019010403","32","2","","800","","","","","5","-97","-139","10346","10329","","74","0","","","","","","","","","","","",""
"2019010404","32","3","","800","","","","","5","-89","-127","10345","10328","","76","0","","","","","","","","","","","",""
"2019010405","34","2","","800","","","","","5","-84","-127","10339","10322","","74","0","","","","","","","","","","","",""
"2019010406","32","2","","800","","","","","5","-91","-127","10336","10319","","76","0","","","","","","","","","","","",""
"2019010407","33","3","","800","","","","","5","-86","-117","10331","10314","","79","0","","","","","","","","","","","",""
"2019010408","33","3","","1000","","","","","","-83","-112","10330","10313","","79","0","","","","","","","","","","","",""
"2019010409","32","3","","1000","","","","","","-65","-107","10336","10319","","71","3","3","180","0","","","","","","","","",""
"2019010410","35","1","","1000","","","","","","-38","-98","10336","10319","","64","6","6","140","3","","","","","","","","",""
"2019010411","18","2","","1000","","","","","","-15","-94","10327","10311","","56","7","7","100","3","","","","","","","","",""
"2019010412","19","3","","1000","","","","","","3","-107","10317","10301","","45","7","7","90","3","","","","","","","","",""
"2019010413","22","8","","1000","","","","","","18","-103","10314","10298","","41","8","8","90","4","","","","","","","","",""
"2019010414","22","7","","1000","","","","","","35","-90","10305","10289","","40","2","2","100","3","","","","","","","","",""
"2019010415","23","6","","1000","","","","","","36","-71","10295","10279","","46","1","1","180","0","","","","","","","","",""
"2019010416","26","4","","1000","","","","","","30","-50","10291","10275","","56","6","3","30","6","6","120","3","","","","","",""
"2019010417","25","5","","1000","","","","","","22","-41","10286","10270","","63","4","3","30","6","4","120","3","","","","","",""
"2019010418","22","4","","1000","","","","","","12","-38","10285","10269","","70","4","3","30","6","4","120","3","","","","","",""
"2019010419","19","3","","1000","","","","","","-1","-50","10283","10267","","70","2","2","30","6","","","","","","","","",""
"2019010420","19","1","","1000","","","","","","-13","-57","10283","10267","","73","2","2","30","6","","","","","","","","",""
"2019010421","32","2","","600","","","","","10","-22","-50","10278","10262","","82","3","3","30","6","","","","","","","","",""
"2019010422","32","2","","400","","","","","10","-28","-50","10277","10261","","84","3","3","30","6","","","","","","","","",""
"2019010423","35","2","","300","","","","","10","-47","-71","10276","10260","","85","3","3","30","6","","","","","","","","",""
"2019010424","32","1","","200","","","","","10","-48","-71","10273","10257","","86","3","3","30","6","","","","","","","","",""
"2019010501","1","3","","200","","","","","10","-44","-67","10276","10260","","86","2","2","15","7","","","","","","","","",""
"2019010502","31","5","","250","","","","","10","-39","-78","10280","10264","","76","2","2","200","0","","","","","","","","",""
"2019010503","32","6","","500","","","","","10","-47","-127","10281","10265","","54","2","2","200","0","","","","","","","","",""
"2019010504","34","4","","1000","","","","","","-46","-145","10278","10262","","48","0","","","","","","","","","","","",""
