"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019053124","13","2","","1000","","","","","","146","119","10115","10103","","84","0","","","","","","","","","","","",""
"2019060101","32","1","","1000","","","","","","140","118","10116","10104","","87","0","","","","","","","","","","","",""
"2019060102","12","2","","1000","","","","","","143","121","10113","10101","","87","2","2","15","7","","","","","","","","",""
"2019060103","18","2","","800","","","","","10","137","122","10107","10095","","91","2","2","15","7","","","","","","","","",""
"2019060104","15","4","","500","","","","","10","149","134","10108","10096","","91","4","4","10","7","","","","","","","","",""
"2019060105","22","5","","800","","","","","10","157","129","10112","10100","","84","6","4","10","7","6","20","6","","","","","",""
"2019060106","23","4","","800","","","","","10","159","127","10112","10100","","81","6","2","10","7","6","20","6","","","","","",""
"2019060107","31","3","","700","","","","","10","164","135","10110","10098","","83","6","6","20","6","","","","","","","","",""
"2019060108","30","2","","800","","","","","10","175","132","10110","10098","","76","6","6","20","6","","","","","","","","",""
"2019060109","23","3","","1000","","","","","","190","128","10109","10098","","68","7","7","20","6","","","","","","","","",""
"2019060110","22","7","","1000","","","","","","202","127","10111","10100","","63","3","3","20","6","","","","","","","","",""
"2019060111","23","10","25","1000","","","","","","198","124","10112","10101","","62","3","3","30","6","","","","","","","","",""
"2019060112","22","7","18","1000","","","","","","205","126","10110","10099","","60","6","1","30","6","6","200","0","","","","","",""
"2019060113","24","6","","1000","","","","","","213","118","10104","10093","","55","6","1","30","6","6","200","0","","","","","",""
"2019060114","22","9","","1000","","","","","","223","118","10101","10090","","52","8","8","200","2","","","","","","","","",""
"2019060115","23","8","22","1000","","","","","","222","113","10098","10087","","50","8","8","200","2","","","","","","","","",""
"2019060116","25","7","","1000","","","","","","225","121","10094","10083","","52","6","6","200","0","","","","","","","","",""
"2019060117","26","8","20","1000","","","","","","220","105","10096","10085","","48","6","6","200","0","","","","","","","","",""
"2019060118","26","8","","1000","","","","","","207","114","10095","10084","","55","2","2","200","0","","","","","","","","",""
"2019060119","31","6","","1000","","","","","","190","114","10098","10087","","61","3","3","200","0","","","","","","","","",""
"2019060120","29","7","","1000","","","","","","170","114","10103","10091","","69","3","3","200","0","","","","","","","","",""
"2019060121","33","3","","1000","","","","","","159","112","10104","10092","","74","3","3","200","0","","","","","","","","",""
"2019060122","30","2","","1000","","","","","","151","120","10104","10092","","81","2","2","200","0","","","","","","","","",""
"2019060123","30","2","","1000","","","","","","140","115","10103","10091","","85","2","2","200","0","","","","","","","","",""
"2019060124","33","4","","1000","","","","","","136","114","10100","10088","","87","4","4","200","0","","","","","","","","",""
"2019060201","34","2","","1000","","","","","","145","121","10097","10085","","85","6","6","170","0","","","","","","","","",""
"2019060202","31","2","","1000","","","","","","141","124","10097","10085","","89","5","5","180","0","","","","","","","","",""
"2019060203","21","1","","1000","","","","","","130","120","10094","10082","","93","3","3","200","0","","","","","","","","",""
"2019060204","1","1","","1000","","","","","","130","118","10090","10078","","93","3","3","200","0","","","","","","","","",""
"2019060205","33","3","","600","","","","","10","120","113","10090","10078","","95","2","2","200","0","","","","","","","","",""
"2019060206","0","0","","900","","","","","10","125","118","10087","10075","","96","1","1","200","0","","","","","","","","",""
"2019060207","24","1","","1000","","","","","","166","126","10088","10076","","77","1","1","200","0","","","","","","","","",""
"2019060208","27","1","","1000","","","","","","198","130","10089","10078","","65","1","1","200","0","","","","","","","","",""
"2019060209","7","2","","1000","","","","","","222","127","10086","10075","","55","1","1","200","0","","","","","","","","",""
"2019060210","23","3","","1000","","","","","","239","95","10085","10074","","40","1","1","200","0","","","","","","","","",""
"2019060211","21","4","","1000","","","","","","253","106","10082","10071","","40","0","","","","","","","","","","","",""
