"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019033124","33","1","","1000","","","","","","17","-98","10233","10217","","43","0","","","","","","","","","","","",""
"2019040101","30","2","","1000","","","","","","18","-67","10232","10216","","53","0","","","","","","","","","","","",""
"2019040102","35","2","","1000","","","","","","9","-71","10230","10214","","57","0","","","","","","","","","","","",""
"2019040103","33","3","","1000","","","","","","0","-67","10230","10214","","61","0","","","","","","","","","","","",""
"2019040104","34","2","","1000","","","","","","-20","-74","10230","10214","","66","0","","","","","","","","","","","",""
"2019040105","3","2","","1000","","","","","","-14","-64","10231","10215","","71","0","","","","","","","","","","","",""
"2019040106","4","2","","1000","","","","","","-18","-60","10233","10217","","72","0","","","","","","","","","","","",""
"2019040107","34","1","","1000","","","","","","-2","-57","10238","10222","","68","0","","","","","","","","","","","",""
"2019040108","1","2","","1000","","","","","","30","-36","10247","10231","","62","0","","","","","","","","","","","",""
"2019040109","33","5","","1000","","","","","","51","-64","10247","10231","","44","7","7","220","0","","","","","","","","",""
"2019040110","35","12","","1000","","","","","","76","-117","10249","10233","","24","7","7","220","0","","","","","","","","",""
"2019040111","35","11","","1000","","","","","","80","-151","10245","10229","","18","5","2","100","3","5","220","0","","","","","",""
"2019040112","34","12","","1000","","","","","","89","-164","10237","10221","","15","5","2","100","3","5","220","0","","","","","",""
"2019040113","29","8","","1000","","","","","","89","-127","10228","10212","","21","2","2","80","3","","","","","","","","",""
"2019040114","30","14","","1000","","","","","","101","-117","10223","10207","","21","2","2","80","3","","","","","","","","",""
"2019040115","27","12","","1000","","","","","","97","-122","10218","10202","","20","1","1","80","3","","","","","","","","",""
"2019040116","28","13","","1000","","","","","","93","-98","10217","10201","","26","1","1","120","3","","","","","","","","",""
"2019040117","29","12","","1000","","","","","","88","-78","10217","10201","","30","2","2","120","3","","","","","","","","",""
"2019040118","27","11","","1000","","","","","","80","-94","10215","10199","","28","2","2","120","3","","","","","","","","",""
"2019040119","27","10","","1000","","","","","","69","-98","10216","10200","","29","1","1","100","3","","","","","","","","",""
"2019040120","27","7","","1000","","","","","","63","-98","10218","10202","","32","0","","","","","","","","","","","",""
"2019040121","27","7","","1000","","","","","","56","-71","10225","10209","","41","0","","","","","","","","","","","",""
"2019040122","28","7","","1000","","","","","","50","-47","10227","10211","","50","0","","","","","","","","","","","",""
"2019040123","30","7","","1000","","","","","","43","-50","10229","10213","","51","0","","","","","","","","","","","",""
"2019040124","31","4","","1000","","","","","","32","-47","10232","10216","","56","0","","","","","","","","","","","",""
