"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018103124","30","2","","1000","","","","","","28","-14","10251","10235","","74","0","","","","","","","","","","","",""
"2018110101","32","2","","1000","","","","","","34","-5","10252","10236","","77","0","","","","","","","","","","","",""
"2018110102","33","2","","1000","","","","","","23","-9","10253","10237","","80","0","","","","","","","","","","","",""
"2018110103","31","1","","1000","","","","","","21","-7","10252","10236","","82","0","","","","","","","","","","","",""
"2018110104","36","2","","1000","","","","","","12","-12","10252","10236","","85","0","","","","","","","","","","","",""
"2018110105","33","1","","1000","","","","","","13","-9","10256","10240","","86","0","","","","","","","","","","","",""
"2018110106","28","1","","1000","","","","","","6","-12","10261","10245","","88","0","","","","","","","","","","","",""
"2018110107","31","1","","1000","","","","","","5","-14","10263","10247","","88","0","","","","","","","","","","","",""
"2018110108","5","1","","1000","","","","","","43","25","10270","10254","","88","0","","","","","","","","","","","",""
"2018110109","32","1","","1000","","","","","","76","19","10276","10260","","68","0","","","","","","","","","","","",""
"2018110110","30","2","","1000","","","","","","97","6","10278","10262","","53","0","","","","","","","","","","","",""
"2018110111","36","4","","1000","","","","","","109","-9","10278","10262","","45","0","","","","","","","","","","","",""
"2018110112","34","7","","1000","","","","","","130","-22","10274","10259","","35","0","","","","","","","","","","","",""
"2018110113","36","6","","1000","","","","","","140","-25","10267","10252","","32","0","","","","","","","","","","","",""
"2018110114","35","8","","1000","","","","","","144","-38","10264","10249","","29","0","","","","","","","","","","","",""
"2018110115","35","9","","1000","","","","","","149","-30","10259","10244","","29","0","","","","","","","","","","","",""
"2018110116","36","7","","1000","","","","","","147","-36","10260","10245","","29","0","","","","","","","","","","","",""
"2018110117","1","3","","1000","","","","","","138","-25","10262","10247","","33","0","","","","","","","","","","","",""
"2018110118","30","3","","1000","","","","","","117","-5","10265","10249","","43","0","","","","","","","","","","","",""
"2018110119","29","4","","1000","","","","","","111","-9","10268","10252","","44","0","","","","","","","","","","","",""
"2018110120","15","1","","1000","","","","","","81","-5","10273","10257","","55","0","","","","","","","","","","","",""
"2018110121","14","1","","1000","","","","","","59","-9","10276","10260","","62","0","","","","","","","","","","","",""
"2018110122","4","1","","1000","","","","","","57","-5","10280","10264","","65","0","","","","","","","","","","","",""
"2018110123","33","2","","1000","","","","","","52","6","10281","10265","","74","0","","","","","","","","","","","",""
"2018110124","33","1","","800","","","","","10","47","19","10280","10264","","83","0","","","","","","","","","","","",""
"2018110201","35","3","","800","","","","","10","40","15","10280","10264","","85","0","","","","","","","","","","","",""
"2018110202","33","3","","800","","","","","10","42","19","10282","10266","","86","0","","","","","","","","","","","",""
"2018110203","32","3","","800","","","","","10","35","13","10283","10267","","87","0","","","","","","","","","","","",""
"2018110204","36","2","","700","","","","","10","26","6","10285","10269","","87","0","","","","","","","","","","","",""
"2018110205","30","1","","700","","","","","10","21","0","10289","10273","","87","0","","","","","","","","","","","",""
"2018110206","36","2","","700","","","","","10","24","6","10291","10275","","88","0","","","","","","","","","","","",""
"2018110207","33","2","","1000","","","","","","31","13","10292","10276","","89","0","","","","","","","","","","","",""
"2018110208","32","2","","1000","","","","","","43","25","10297","10281","","89","0","","","","","","","","","","","",""
"2018110209","34","2","","1000","","","","","","83","45","10299","10283","","78","0","","","","","","","","","","","",""
"2018110210","8","1","","1000","","","","","","124","45","10299","10283","","59","0","","","","","","","","","","","",""
"2018110211","17","1","","1000","","","","","","146","32","10297","10282","","46","0","","","","","","","","","","","",""
"2018110212","29","1","","1000","","","","","","151","45","10291","10276","","49","0","","","","","","","","","","","",""
"2018110213","2","3","","1000","","","","","","158","6","10282","10267","","36","0","","","","","","","","","","","",""
"2018110214","4","3","","1000","","","","","","164","11","10274","10259","","36","0","","","","","","","","","","","",""
"2018110215","32","4","","1000","","","","","","172","0","10268","10253","","31","0","","","","","","","","","","","",""
"2018110216","33","2","","1000","","","","","","177","-9","10265","10250","","28","0","","","","","","","","","","","",""
"2018110217","34","4","","1000","","","","","","154","-19","10265","10250","","31","0","","","","","","","","","","","",""
"2018110218","30","6","","1000","","","","","","126","34","10267","10252","","54","0","","","","","","","","","","","",""
"2018110219","36","1","","1000","","","","","","104","29","10273","10257","","60","0","","","","","","","","","","","",""
"2018110220","32","3","","1000","","","","","","98","32","10275","10259","","64","0","","","","","","","","","","","",""
"2018110221","36","2","","800","","","","","10","91","46","10278","10262","","74","0","","","","","","","","","","","",""
"2018110222","36","2","","700","","","","","10","76","39","10281","10265","","78","0","","","","","","","","","","","",""
"2018110223","4","3","","700","","","","","10","67","36","10284","10268","","82","0","","","","","","","","","","","",""
"2018110224","29","1","","600","","","","","10","54","34","10282","10266","","88","0","","","","","","","","","","","",""
"2018110301","33","1","","500","","","","","10","48","30","10282","10266","","89","0","","","","","","","","","","","",""
"2018110302","30","1","","310","","","","","41","44","27","10278","10262","","89","0","","","","","","","","","","","",""
"2018110303","36","1","","350","","","","","10","30","13","10274","10258","","89","0","","","","","","","","","","","",""
"2018110304","34","4","","280","35","200","","","41","42","25","10272","10256","","90","0","","","","","","","","","","","",""
"2018110305","34","4","","280","","","","","41","32","17","10276","10260","","90","0","","","","","","","","","","","",""
"2018110306","34","2","","280","","","","","41","28","13","10275","10259","","90","0","","","","","","","","","","","",""
"2018110307","30","2","","350","","","","","41","20","6","10275","10259","","91","0","","","","","","","","","","","",""
"2018110308","32","2","","800","","","","","10","39","25","10279","10263","","91","0","","","","","","","","","","","",""
"2018110309","32","2","","600","","","","","10","83","67","10280","10264","","91","0","","","","","","","","","","","",""
"2018110310","20","2","","600","","","","","5","121","53","10281","10265","","64","0","","","","","","","","","","","",""
"2018110311","21","2","","600","","","","","5","154","56","10276","10261","","52","0","","","","","","","","","","","",""
"2018110312","32","1","","600","","","","","5","163","41","10266","10251","","45","0","","","","","","","","","","","",""
"2018110313","29","3","","700","","","","","5","172","23","10255","10240","","37","0","","","","","","","","","","","",""
"2018110314","1","4","","700","","","","","5","177","6","10247","10232","","32","0","","","","","","","","","","","",""
"2018110315","31","5","","800","","","","","5","177","6","10242","10227","","32","0","","","","","","","","","","","",""
"2018110316","30","9","","800","","","","","5","164","29","10242","10227","","40","0","","","","","","","","","","","",""
"2018110317","30","7","","1000","","","","","","145","19","10241","10226","","43","1","1","200","0","","","","","","","","",""
"2018110318","29","6","","1000","","","","","","125","48","10243","10228","","59","1","1","200","0","","","","","","","","",""
"2018110319","9","1","","800","","","","","5","108","39","10249","10233","","63","0","","","","","","","","","","","",""
"2018110320","36","4","","600","","","","","10","87","46","10245","10229","","76","0","","","","","","","","","","","",""
"2018110321","26","2","","500","","","","","10","76","50","10248","10232","","84","0","","","","","","","","","","","",""
"2018110322","1","2","","400","","","","","10","62","41","10248","10232","","87","0","","","","","","","","","","","",""
"2018110323","34","2","","250","","","","","10","61","39","10249","10233","","87","0","","","","","","","","","","","",""
"2018110324","34","3","","140","190","200","","","41","62","45","10248","10232","","89","0","","","","","","","","","","","",""
"2018110401","31","3","","90","160","200","","","42","44","29","10245","10229","","90","4","4","5","7","","","","","","","","",""
"2018110402","1","1","","90","190","200","","","44","47","30","10242","10226","","90","5","5","5","7","","","","","","","","",""
"2018110403","35","2","","90","130","130","","","42","42","27","10238","10222","","90","5","5","5","7","","","","","","","","",""
"2018110404","34","4","","120","65","180","","","41","34","19","10235","10219","","90","4","4","5","7","","","","","","","","",""
"2018110405","32","3","","80","200","","","","46","30","15","10237","10221","","91","6","6","5","7","","","","","","","","",""
"2018110406","35","2","","80","38","15","","","44","23","9","10239","10223","","91","6","6","5","7","","","","","","","","",""
"2018110407","1","1","","120","50","28","","","41","16","2","10240","10224","","91","0","","","","","","","","","","","",""
"2018110408","33","3","","20","8","150","","","46","39","25","10246","10230","","91","7","7","6","7","","","","","","","","",""
"2018110409","34","2","","20","15","18","","","44","54","39","10251","10235","","91","7","7","4","7","","","","","","","","",""
"2018110410","36","2","","250","","","","","10","78","64","10248","10232","","91","4","4","8","7","","","","","","","","",""
"2018110411","28","2","","600","","","","","5","126","59","10246","10231","","64","0","","","","","","","","","","","",""
"2018110412","36","4","","1000","","","","","","152","30","10234","10219","","44","0","","","","","","","","","","","",""
"2018110413","34","6","","1000","","","","","","164","-36","10224","10209","","26","1","1","200","0","","","","","","","","",""
"2018110414","1","4","","1000","","","","","","181","-30","10215","10200","","24","1","1","200","0","","","","","","","","",""
"2018110415","35","7","","1000","","","","","","178","-38","10212","10197","","23","1","1","200","0","","","","","","","","",""
"2018110416","28","6","","1000","","","","","","173","9","10215","10200","","34","1","1","200","0","","","","","","","","",""
"2018110417","30","5","","1000","","","","","","150","21","10217","10202","","42","2","2","200","0","","","","","","","","",""
"2018110418","28","4","","1000","","","","","","129","38","10221","10206","","54","3","3","200","0","","","","","","","","",""
"2018110419","32","5","","1000","","","","","","108","41","10224","10208","","64","3","3","200","0","","","","","","","","",""
"2018110420","33","3","","1000","","","","","","91","34","10228","10212","","68","3","3","200","0","","","","","","","","",""
"2018110421","2","3","","1000","","","","","","100","48","10232","10216","","70","3","3","200","0","","","","","","","","",""
"2018110422","31","2","","1000","","","","","","87","43","10233","10217","","75","3","3","200","0","","","","","","","","",""
"2018110423","31","3","","600","","","","","10","81","56","10233","10217","","85","3","3","200","0","","","","","","","","",""
"2018110424","28","1","","500","","","","","10","67","46","10231","10215","","88","3","3","200","0","","","","","","","","",""
"2018110501","1","1","","400","","","","","10","62","45","10231","10215","","89","3","3","200","0","","","","","","","","",""
