"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019022824","28","1","","300","","","","","5","-2","-60","10209","10193","","65","0","","","","","","","","","","","",""
"2019030101","32","2","","250","","","","","5","-5","-54","10211","10195","","71","0","","","","","","","","","","","",""
"2019030102","34","1","","250","","","","","10","-5","-41","10214","10198","","76","0","","","","","","","","","","","",""
"2019030103","0","0","","250","","","","","10","-12","-50","10219","10203","","75","0","","","","","","","","","","","",""
"2019030104","35","2","","250","","","","","10","-16","-54","10222","10206","","76","0","","","","","","","","","","","",""
"2019030105","30","2","","250","","","","","10","-18","-44","10224","10208","","82","0","","","","","","","","","","","",""
"2019030106","4","2","","280","","","","","10","-18","-50","10228","10212","","78","0","","","","","","","","","","","",""
"2019030107","5","1","","280","","","","","10","-27","-57","10229","10213","","80","0","","","","","","","","","","","",""
"2019030108","19","1","","200","","","","","10","-13","-47","10234","10218","","78","0","","","","","","","","","","","",""
"2019030109","10","1","","180","","","","","5","37","-9","10237","10221","","72","0","","","","","","","","","","","",""
"2019030110","25","2","","350","","","","","5","60","-36","10237","10221","","51","0","","","","","","","","","","","",""
"2019030111","1","2","","600","","","","","5","83","-50","10233","10217","","39","0","","","","","","","","","","","",""
"2019030112","2","4","","600","","","","","5","96","-71","10225","10209","","31","0","","","","","","","","","","","",""
"2019030113","35","5","","600","","","","","5","105","-60","10217","10201","","31","0","","","","","","","","","","","",""
"2019030114","32","5","","600","","","","","5","122","-57","10213","10198","","29","0","","","","","","","","","","","",""
"2019030115","30","9","","500","","","","","5","118","-30","10212","10197","","36","0","","","","","","","","","","","",""
"2019030116","28","8","","500","","","","","5","115","-57","10212","10197","","30","0","","","","","","","","","","","",""
"2019030117","28","8","","500","","","","","5","105","-78","10215","10199","","27","0","","","","","","","","","","","",""
"2019030118","28","7","","700","","","","","5","84","-78","10219","10203","","31","0","","","","","","","","","","","",""
"2019030119","25","5","","500","","","","","5","67","-64","10228","10212","","40","0","","","","","","","","","","","",""
"2019030120","35","1","","350","","","","","5","40","-50","10232","10216","","52","0","","","","","","","","","","","",""
"2019030121","1","6","","300","","","","","5","27","-27","10232","10216","","69","1","1","200","0","","","","","","","","",""
"2019030122","36","6","","250","","","","","10","24","-22","10227","10211","","72","2","2","200","0","","","","","","","","",""
"2019030123","31","3","","180","","","","","10","13","-30","10225","10209","","74","2","2","200","0","","","","","","","","",""
"2019030124","9","1","","160","","","","","10","5","-25","10223","10207","","82","2","2","200","0","","","","","","","","",""
"2019030201","22","1","","170","","","","","10","-8","-41","10222","10206","","79","2","2","200","0","","","","","","","","",""
"2019030202","33","1","","170","","","","","10","-10","-41","10224","10208","","81","2","2","200","0","","","","","","","","",""
"2019030203","3","2","","200","","","","","10","-21","-54","10223","10207","","80","2","2","200","0","","","","","","","","",""
"2019030204","5","3","","200","","","","","10","-10","-38","10218","10202","","81","2","2","200","0","","","","","","","","",""
"2019030205","0","0","","140","150","200","","","41","-13","-36","10216","10200","","85","2","2","200","0","","","","","","","","",""
"2019030206","33","2","","120","190","190","","","41","-25","-47","10216","10200","","85","2","2","200","0","","","","","","","","",""
"2019030207","1","2","","90","190","170","","","47","-24","-47","10221","10205","","86","2","2","200","0","","","","","","","","",""
"2019030208","36","2","","180","","","","","10","-9","-33","10219","10203","","84","2","2","200","0","","","","","","","","",""
"2019030209","32","2","","180","130","160","","","10","24","-9","10222","10206","","78","2","2","200","0","","","","","","","","",""
"2019030210","32","3","","180","","","","","5","55","-12","10220","10204","","62","0","","","","","","","","","","","",""
"2019030211","3","3","","420","","","","","5","90","-38","10217","10201","","40","0","","","","","","","","","","","",""
"2019030212","6","3","","600","","","","","5","103","-64","10207","10191","","31","0","","","","","","","","","","","",""
"2019030213","3","3","","600","","","","","5","116","-71","10195","10180","","27","0","","","","","","","","","","","",""
"2019030214","33","3","","600","","","","","5","131","-78","10182","10167","","23","0","","","","","","","","","","","",""
"2019030215","2","3","","600","","","","","5","130","-82","10179","10164","","22","0","","","","","","","","","","","",""
"2019030216","25","2","","600","","","","","5","132","-82","10174","10159","","22","4","4","200","0","","","","","","","","",""
"2019030217","29","6","","600","","","","","5","115","-64","10173","10158","","28","7","7","200","0","","","","","","","","",""
"2019030218","29","6","","600","","","","","5","100","-60","10175","10160","","33","7","7","200","0","","","","","","","","",""
"2019030219","2","1","","600","","","","","5","87","-50","10177","10161","","38","7","7","200","0","","","","","","","","",""
"2019030220","2","2","","420","","","","","5","65","-44","10177","10161","","46","7","7","200","0","","","","","","","","",""
"2019030221","36","2","","420","","","","","5","52","-44","10181","10165","","51","7","7","200","0","","","","","","","","",""
"2019030222","32","2","","400","","","","","5","37","-36","10181","10165","","60","7","7","200","0","","","","","","","","",""
"2019030223","32","2","","400","","","","","5","27","-41","10177","10161","","61","7","7","200","0","","","","","","","","",""
"2019030224","34","2","","400","","","","","5","29","-44","10174","10158","","59","7","7","200","0","","","","","","","","",""
"2019030301","0","0","","420","","","","","5","14","-54","10174","10158","","61","7","7","200","0","","","","","","","","",""
"2019030302","35","3","","420","","","","","5","12","-41","10173","10157","","68","7","7","200","0","","","","","","","","",""
"2019030303","34","2","","400","","","","","10","9","-38","10170","10154","","72","7","7","200","0","","","","","","","","",""
"2019030304","36","3","","350","","","","","10","3","-41","10166","10150","","74","7","7","200","0","","","","","","","","",""
"2019030305","36","3","","300","","","","","10","0","-36","10162","10146","","78","3","3","200","0","","","","","","","","",""
"2019030306","34","3","","250","","","","","10","-18","-47","10157","10141","","80","0","","","","","","","","","","","",""
"2019030307","35","1","","250","","","","","10","-10","-36","10157","10141","","84","0","","","","","","","","","","","",""
"2019030308","35","3","","250","","","","","10","-5","-30","10159","10143","","84","0","","","","","","","","","","","",""
"2019030309","33","3","","320","","","","","5","32","-22","10158","10142","","68","0","","","","","","","","","","","",""
"2019030310","5","1","","400","","","","","5","78","-25","10155","10139","","48","1","1","200","0","","","","","","","","",""
"2019030311","35","3","","500","","","","","5","99","-44","10148","10133","","36","2","2","200","0","","","","","","","","",""
"2019030312","30","5","","800","","","","","5","124","-82","10147","10132","","23","3","3","200","0","","","","","","","","",""
"2019030313","31","5","","1000","","","","","","138","-98","10136","10121","","19","3","3","200","0","","","","","","","","",""
"2019030314","34","7","","800","","","","","5","138","-86","10123","10108","","21","3","3","200","0","","","","","","","","",""
"2019030315","31","6","","600","","","","","5","140","-57","10114","10099","","25","4","4","180","0","","","","","","","","",""
"2019030316","33","6","","600","","","","","5","139","-57","10111","10096","","25","6","6","180","0","","","","","","","","",""
"2019030317","31","6","","500","","","","","5","130","-41","10109","10094","","31","6","6","180","0","","","","","","","","",""
"2019030318","30","7","","450","","","","","5","113","-30","10110","10095","","37","7","7","180","0","","","","","","","","",""
"2019030319","29","8","","400","","","","","5","100","-14","10113","10098","","45","7","7","180","0","","","","","","","","",""
"2019030320","32","7","","350","","","","","5","82","-19","10113","10098","","49","7","3","130","3","7","180","0","","","","","",""
"2019030321","34","4","","350","","","","","5","76","-25","10114","10098","","49","7","3","130","3","7","180","0","","","","","",""
"2019030322","21","1","","320","","","","","5","70","-25","10115","10099","","51","7","3","130","3","7","180","0","","","","","",""
"2019030323","31","2","","280","","","","","5","65","-19","10116","10100","","55","7","3","130","3","7","180","0","","","","","",""
"2019030324","33","4","","250","","","","","5","55","-22","10113","10097","","58","7","3","130","3","7","180","0","","","","","",""
"2019030401","35","3","","220","","","","","5","49","-22","10110","10094","","61","7","3","130","3","7","180","0","","","","","",""
"2019030402","34","4","","200","","","","","5","50","-19","10111","10095","","62","7","3","130","3","7","180","0","","","","","",""
"2019030403","35","5","","200","","","","","5","51","-12","10108","10092","","65","7","3","130","3","7","180","0","","","","","",""
"2019030404","34","4","","200","","","","","5","47","-9","10108","10092","","68","7","3","130","3","7","180","0","","","","","",""
"2019030405","34","4","","180","","","","","5","47","-14","10111","10095","","65","7","3","130","3","7","180","0","","","","","",""
"2019030406","33","6","","180","","","","","5","29","-22","10115","10099","","70","7","3","130","3","7","180","0","","","","","",""
"2019030407","3","2","","160","","","","","5","29","-19","10120","10104","","72","7","3","130","3","7","180","0","","","","","",""
"2019030408","35","2","","160","","","","","5","41","-19","10126","10110","","66","6","6","180","0","","","","","","","","",""
"2019030409","34","3","","180","","","","","5","59","-9","10134","10118","","62","4","4","200","0","","","","","","","","",""
"2019030410","33","3","","220","","","","","5","77","-19","10139","10123","","51","4","4","200","0","","","","","","","","",""
"2019030411","24","1","","300","","","","","5","117","-17","10141","10126","","40","4","4","200","0","","","","","","","","",""
"2019030412","23","2","","300","","","","","5","125","-22","10140","10125","","36","2","2","200","0","","","","","","","","",""
"2019030413","35","5","","600","","","","","5","137","-47","10137","10122","","28","1","1","200","0","","","","","","","","",""
"2019030414","33","5","","600","","","","","5","142","-41","10133","10118","","28","0","","","","","","","","","","","",""
"2019030415","30","8","","600","","","","","5","145","-47","10134","10119","","26","0","","","","","","","","","","","",""
"2019030416","29","8","","600","","","","","5","142","-50","10137","10122","","27","0","","","","","","","","","","","",""
"2019030417","28","7","","450","","","","","5","129","-30","10143","10128","","34","0","","","","","","","","","","","",""
"2019030418","26","5","","350","","","","","5","110","-27","10149","10134","","38","0","","","","","","","","","","","",""
"2019030419","22","4","","300","","","","","5","89","-9","10159","10143","","50","0","","","","","","","","","","","",""
"2019030420","7","2","","280","","","","","5","78","0","10166","10150","","58","0","","","","","","","","","","","",""
"2019030421","23","2","","280","","","","","5","58","-5","10174","10158","","64","0","","","","","","","","","","","",""
"2019030422","21","5","","180","","","","","5","66","6","10182","10166","","67","0","","","","","","","","","","","",""
"2019030423","21","6","","160","","","","","5","60","11","10186","10170","","72","0","","","","","","","","","","","",""
"2019030424","22","6","","120","200","200","","","10","56","19","10188","10172","","77","0","","","","","","","","","","","",""
"2019030501","21","4","","120","200","200","","","10","53","15","10188","10172","","78","1","1","18","7","","","","","","","","",""
"2019030502","20","5","","120","200","200","","","10","44","11","10193","10177","","80","2","2","10","7","","","","","","","","",""
"2019030503","16","3","","120","200","200","","","10","42","11","10195","10179","","81","2","2","10","7","","","","","","","","",""
"2019030504","22","6","","90","200","200","","","47","57","27","10198","10182","","81","8","9","9","10","","","","","","","","",""
"2019030505","22","6","","120","200","","","","10","61","21","10202","10186","","76","2","2","12","7","","","","","","","","",""
