"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019013124","28","3","","1000","","","","","","-64","-205","10244","10227","","32","4","4","180","0","","","","","","","","",""
"2019020101","31","2","","1000","","","","","","-67","-196","10248","10231","","36","4","4","180","0","","","","","","","","",""
"2019020102","23","1","","1000","","","","","","-88","-205","10250","10233","","40","2","2","180","0","","","","","","","","",""
"2019020103","0","0","","1000","","","","","","-86","-187","10253","10236","","44","0","","","","","","","","","","","",""
"2019020104","0","0","","1000","","","","","","-105","-179","10249","10232","","55","0","","","","","","","","","","","",""
"2019020105","7","2","","1000","","","","","","-102","-187","10247","10230","","51","0","","","","","","","","","","","",""
"2019020106","2","3","","1000","","","","","","-92","-151","10247","10230","","66","0","","","","","","","","","","","",""
"2019020107","24","1","","1000","","","","","","-101","-157","10247","10230","","68","0","","","","","","","","","","","",""
"2019020108","35","2","","1000","","","","","","-98","-139","10252","10235","","74","0","","","","","","","","","","","",""
"2019020109","0","0","","1000","","","","","","-43","-127","10253","10237","","52","0","","","","","","","","","","","",""
"2019020110","8","2","","1000","","","","","","-12","-145","10253","10237","","37","0","","","","","","","","","","","",""
"2019020111","32","4","","1000","","","","","","-6","-151","10256","10240","","34","0","","","","","","","","","","","",""
"2019020112","30","4","","1000","","","","","","10","-139","10254","10238","","32","2","2","40","6","","","","","","","","",""
"2019020113","27","6","","1000","","","","","","25","-112","10245","10229","","36","5","5","40","6","","","","","","","","",""
"2019020114","26","8","","1000","","","","","","31","-103","10240","10224","","38","3","3","40","6","","","","","","","","",""
"2019020115","25","9","","1000","","","","","","16","-94","10238","10222","","44","7","7","45","6","","","","","","","","",""
"2019020116","22","7","","1000","","","","","","19","-86","10235","10219","","47","7","7","45","6","","","","","","","","",""
